kind,corpus,unitKiB,level,rawMiB,ratio,storedFrac,compMBps,decompMBps,usdPerRawGBMonth,decodeUsPerUnit,cpuSecPerGiB
seg,jsonsess,128,1,32.0,6.312,0.1584,1508.9,2994.6,0.00364,43.8,0.71
seg,jsonsess,128,2,32.0,5.844,0.1711,1220.8,2546.0,0.00394,51.5,0.88
seg,jsonsess,128,3,32.0,5.697,0.1755,969.0,2817.8,0.00404,46.5,1.11
seg,jsonsess,128,9,32.0,5.542,0.1805,126.4,2425.3,0.00415,54.0,8.49
wal,jsonsess,4,1,38.1,3.087,0.3239,468.2,684.6,0.00745,6.0,2.29
wal,jsonsess,4,2,38.1,3.044,0.3285,343.8,815.1,0.00756,5.0,3.12
wal,jsonsess,4,3,38.1,3.041,0.3288,392.6,864.8,0.00756,4.7,2.73
wal,jsonsess,4,9,38.1,3.082,0.3245,89.5,888.1,0.00746,4.6,12.00
wal,jsonsess,64,1,38.1,3.693,0.2708,1075.0,2050.5,0.00623,32.0,1.00
wal,jsonsess,64,2,38.1,3.606,0.2773,955.5,1822.2,0.00638,36.0,1.12
wal,jsonsess,64,3,38.1,3.567,0.2804,673.5,1899.7,0.00645,34.5,1.59
wal,jsonsess,64,9,38.1,3.568,0.2802,106.3,1714.6,0.00645,38.2,10.10
wal,jsonsess,1024,1,38.1,3.690,0.2710,1080.1,2395.8,0.00623,437.7,0.99
wal,jsonsess,1024,2,38.1,3.612,0.2768,743.4,2364.1,0.00637,443.5,1.44
wal,jsonsess,1024,3,38.1,3.509,0.2850,680.4,2251.9,0.00655,465.6,1.58
wal,jsonsess,1024,9,38.1,3.652,0.2738,144.7,2115.6,0.00630,495.6,7.42
seg,text2k,128,1,32.0,2.801,0.3571,378.4,1203.4,0.00821,108.9,2.84
seg,text2k,128,2,32.0,2.844,0.3516,390.3,971.4,0.00809,134.9,2.75
seg,text2k,128,3,32.0,2.973,0.3363,307.5,1211.9,0.00774,108.2,3.49
seg,text2k,128,9,32.0,3.083,0.3243,44.5,1295.6,0.00746,101.2,24.12
wal,text2k,4,1,32.6,2.376,0.4208,254.9,681.0,0.00968,6.0,4.21
wal,text2k,4,2,32.6,2.396,0.4174,239.0,591.5,0.00960,6.9,4.49
wal,text2k,4,3,32.6,2.401,0.4165,225.6,609.0,0.00958,6.7,4.76
wal,text2k,4,9,32.6,2.470,0.4049,49.4,633.0,0.00931,6.5,21.73
wal,text2k,64,1,32.6,2.662,0.3757,401.2,1214.7,0.00864,54.0,2.68
wal,text2k,64,2,32.6,2.735,0.3656,385.7,980.3,0.00841,66.9,2.78
wal,text2k,64,3,32.6,2.805,0.3565,314.4,1135.8,0.00820,57.7,3.41
wal,text2k,64,9,32.6,2.918,0.3426,47.9,1209.4,0.00788,54.2,22.44
wal,text2k,1024,1,32.6,2.763,0.3619,426.0,1474.2,0.00832,711.3,2.52
wal,text2k,1024,2,32.6,2.887,0.3463,383.4,1210.0,0.00797,866.6,2.80
wal,text2k,1024,3,32.6,3.078,0.3248,319.7,1395.8,0.00747,751.2,3.36
wal,text2k,1024,9,32.6,3.144,0.3181,64.5,1392.3,0.00732,753.1,16.64
seg,numser,128,1,32.0,2.265,0.4415,1449.9,2459.4,0.01016,53.3,0.74
seg,numser,128,2,32.0,2.127,0.4702,402.4,1254.4,0.01082,104.5,2.67
seg,numser,128,3,32.0,2.121,0.4714,304.9,1249.1,0.01084,104.9,3.52
seg,numser,128,9,32.0,2.022,0.4944,54.3,811.2,0.01137,161.6,19.76
wal,numser,4,1,76.3,1.491,0.6705,420.5,880.5,0.01542,4.7,2.55
wal,numser,4,2,76.3,1.500,0.6669,371.9,788.8,0.01534,5.2,2.89
wal,numser,4,3,76.3,1.503,0.6655,329.6,785.4,0.01531,5.2,3.26
wal,numser,4,9,76.3,1.531,0.6532,76.6,843.4,0.01502,4.9,14.02
wal,numser,64,1,76.3,1.550,0.6454,733.2,1563.8,0.01484,41.9,1.46
wal,numser,64,2,76.3,1.534,0.6518,617.9,1309.7,0.01499,50.0,1.74
wal,numser,64,3,76.3,1.539,0.6499,416.5,1345.2,0.01495,48.7,2.58
wal,numser,64,9,76.3,1.599,0.6256,89.3,1012.0,0.01439,64.8,12.03
wal,numser,1024,1,76.3,1.557,0.6422,767.8,1655.6,0.01477,633.4,1.40
wal,numser,1024,2,76.3,1.538,0.6502,520.7,1515.2,0.01495,692.0,2.06
wal,numser,1024,3,76.3,1.543,0.6482,345.8,1263.4,0.01491,830.0,3.11
wal,numser,1024,9,76.3,1.625,0.6152,108.7,1176.3,0.01415,891.4,9.88
seg,randbin,128,1,32.0,1.000,1.0001,11734.8,45727.2,0.02300,2.9,0.09
seg,randbin,128,2,32.0,1.000,1.0001,12271.0,45128.6,0.02300,2.9,0.09
seg,randbin,128,3,32.0,1.000,1.0001,10785.5,45554.1,0.02300,2.9,0.10
seg,randbin,128,9,32.0,1.000,1.0001,5898.2,45237.8,0.02300,2.9,0.18
wal,randbin,4,1,38.4,1.051,0.9516,477.8,17993.4,0.02189,0.2,2.25
wal,randbin,4,2,38.4,1.050,0.9527,471.2,16002.4,0.02191,0.3,2.28
wal,randbin,4,3,38.4,1.051,0.9512,379.7,16763.0,0.02188,0.2,2.83
wal,randbin,4,9,38.4,1.055,0.9476,96.7,7699.9,0.02179,0.5,11.10
wal,randbin,64,1,38.4,1.066,0.9379,800.8,21658.3,0.02157,3.0,1.34
wal,randbin,64,2,38.4,1.065,0.9387,787.0,22169.7,0.02159,3.0,1.36
wal,randbin,64,3,38.4,1.066,0.9381,429.7,22055.8,0.02158,3.0,2.50
wal,randbin,64,9,38.4,1.068,0.9367,140.5,14045.2,0.02154,4.7,7.64
wal,randbin,1024,1,38.4,1.067,0.9376,854.1,23853.4,0.02156,44.0,1.26
wal,randbin,1024,2,38.4,1.066,0.9384,576.1,23823.4,0.02158,44.0,1.86
wal,randbin,1024,3,38.4,1.061,0.9421,345.3,19641.4,0.02167,53.4,3.11
wal,randbin,1024,9,38.4,1.064,0.9398,146.0,19952.8,0.02162,52.6,7.36
seg,mixed,128,1,32.0,2.543,0.3932,907.3,1972.8,0.00904,66.4,1.18
seg,mixed,128,2,32.0,2.602,0.3844,710.9,1657.5,0.00884,79.1,1.51
seg,mixed,128,3,32.0,2.597,0.3851,536.8,1748.0,0.00886,75.0,2.00
seg,mixed,128,9,32.0,2.627,0.3806,94.3,1539.7,0.00875,85.1,11.39
seg,mixed,32,1,32.0,2.480,0.4032,792.4,1654.3,0.00927,19.8,1.35
seg,mixed,32,2,32.0,2.541,0.3935,660.2,1474.4,0.00905,22.2,1.63
seg,mixed,32,3,32.0,2.533,0.3947,517.0,1487.5,0.00908,22.0,2.08
seg,mixed,32,9,32.0,2.551,0.3920,114.8,1388.1,0.00902,23.6,9.35
seg,mixed,512,1,32.0,2.526,0.3958,811.4,2015.6,0.00910,260.1,1.32
seg,mixed,512,2,32.0,2.629,0.3803,489.6,1866.8,0.00875,280.8,2.19
seg,mixed,512,3,32.0,2.630,0.3802,478.0,1723.1,0.00875,304.3,2.25
seg,mixed,512,9,32.0,2.712,0.3687,126.8,1743.3,0.00848,300.7,8.47
wal,mixed,4,1,40.9,1.919,0.5212,417.2,882.1,0.01199,4.6,2.57
wal,mixed,4,2,40.9,1.933,0.5174,385.1,838.4,0.01190,4.9,2.79
wal,mixed,4,3,40.9,1.933,0.5173,353.4,835.7,0.01190,4.9,3.04
wal,mixed,4,9,40.9,1.960,0.5103,87.1,886.2,0.01174,4.6,12.33
wal,mixed,64,1,40.9,2.083,0.4800,867.1,1636.0,0.01104,40.1,1.24
wal,mixed,64,2,40.9,2.127,0.4701,735.5,1494.1,0.01081,43.9,1.46
wal,mixed,64,3,40.9,2.123,0.4711,535.5,1519.3,0.01084,43.1,2.01
wal,mixed,64,9,40.9,2.189,0.4568,105.1,1416.1,0.01051,46.3,10.22
wal,mixed,1024,1,40.9,2.086,0.4795,854.0,1832.3,0.01103,572.3,1.26
wal,mixed,1024,2,40.9,2.146,0.4659,568.7,1774.1,0.01072,591.0,1.89
wal,mixed,1024,3,40.9,2.168,0.4613,455.6,1658.9,0.01061,632.1,2.36
wal,mixed,1024,9,40.9,2.262,0.4420,118.7,1679.5,0.01017,624.3,9.05
