driver,workload,page,val,dist,ops,ns_per_op,ops_per_s
modernc,load,4096,16,uniform,200000,1578,633835
modernc,step,4096,16,uniform,500000,819,1220951
modernc,get-hot,4096,16,uniform,500000,2720,367680
modernc,get-cold,4096,16,uniform,500000,2930,341281
modernc,set,4096,16,uniform,50000,3741,267337
modernc,drain,4096,16,uniform,200000,1920,520730
modernc,helem-drain,4096,16,uniform,200000,2368,422314
modernc,helem-get,4096,16,uniform,500000,2977,335931
modernc,pool-read-r4,4096,16,uniform,455194,4394,227597
modernc,pool-drain-r4,4096,16,uniform,180224,11097,90112
modernc,load,4096,16,zipf,200000,1608,621830
modernc,step,4096,16,zipf,500000,826,1210439
modernc,get-hot,4096,16,zipf,500000,2599,384745
modernc,get-cold,4096,16,zipf,500000,2789,358526
modernc,set,4096,16,zipf,50000,3768,265392
modernc,drain,4096,16,zipf,200000,1916,521940
modernc,helem-drain,4096,16,zipf,200000,2353,425053
modernc,helem-get,4096,16,zipf,500000,2947,339275
modernc,pool-read-r4,4096,16,zipf,585967,3413,292984
modernc,pool-drain-r4,4096,16,zipf,224576,8906,112288
modernc,load,4096,128,uniform,200000,1957,511063
modernc,step,4096,128,uniform,500000,832,1201549
modernc,get-hot,4096,128,uniform,500000,3184,314062
modernc,get-cold,4096,128,uniform,500000,3413,293034
modernc,set,4096,128,uniform,50000,3949,253208
modernc,drain,4096,128,uniform,200000,2084,479758
modernc,helem-drain,4096,128,uniform,200000,2791,358312
modernc,helem-get,4096,128,uniform,500000,3400,294123
modernc,pool-read-r4,4096,128,uniform,396513,5044,198256
modernc,pool-drain-r4,4096,128,uniform,151552,13197,75776
modernc,load,4096,128,zipf,200000,1934,517026
modernc,step,4096,128,zipf,500000,835,1197988
modernc,get-hot,4096,128,zipf,500000,2754,363045
modernc,get-cold,4096,128,zipf,500000,3007,332553
modernc,set,4096,128,zipf,50000,3905,256082
modernc,drain,4096,128,zipf,200000,2110,474043
modernc,helem-drain,4096,128,zipf,200000,2802,356882
modernc,helem-get,4096,128,zipf,500000,3053,327499
modernc,pool-read-r4,4096,128,zipf,545007,3670,272504
modernc,pool-drain-r4,4096,128,zipf,188416,10615,94208
modernc,load,4096,512,uniform,200000,2998,333503
modernc,step,4096,512,uniform,500000,828,1207836
modernc,get-hot,4096,512,uniform,500000,4294,232865
modernc,get-cold,4096,512,uniform,500000,4556,219488
modernc,set,4096,512,uniform,50000,4372,228722
modernc,drain,4096,512,uniform,200000,2522,396583
modernc,helem-drain,4096,512,uniform,200000,4089,244564
modernc,helem-get,4096,512,uniform,500000,4446,224931
modernc,pool-read-r4,4096,512,uniform,292790,6831,146395
modernc,pool-drain-r4,4096,512,uniform,98304,20345,49152
modernc,load,4096,512,zipf,200000,2985,335004
modernc,step,4096,512,zipf,500000,831,1203543
modernc,get-hot,4096,512,zipf,500000,3163,316148
modernc,get-cold,4096,512,zipf,500000,3438,290850
modernc,set,4096,512,zipf,50000,4317,231656
modernc,drain,4096,512,zipf,200000,2525,396085
modernc,helem-drain,4096,512,zipf,200000,4032,248008
modernc,helem-get,4096,512,zipf,500000,3603,277544
modernc,pool-read-r4,4096,512,zipf,476182,4200,238091
modernc,pool-drain-r4,4096,512,zipf,135168,14796,67584
modernc,load,8192,16,uniform,200000,1599,625474
modernc,step,8192,16,uniform,500000,839,1192408
modernc,get-hot,8192,16,uniform,500000,2720,367651
modernc,get-cold,8192,16,uniform,500000,2892,345784
modernc,set,8192,16,uniform,50000,3706,269850
modernc,drain,8192,16,uniform,200000,1918,521489
modernc,helem-drain,8192,16,uniform,200000,2317,431663
modernc,helem-get,8192,16,uniform,500000,2939,340255
modernc,pool-read-r4,8192,16,uniform,342753,5835,171376
modernc,pool-drain-r4,8192,16,uniform,122880,16276,61440
modernc,load,8192,16,zipf,200000,1552,644401
modernc,step,8192,16,zipf,500000,832,1202555
modernc,get-hot,8192,16,zipf,500000,2580,387639
modernc,get-cold,8192,16,zipf,500000,2779,359819
modernc,set,8192,16,zipf,50000,3758,266134
modernc,drain,8192,16,zipf,200000,1920,520733
modernc,helem-drain,8192,16,zipf,200000,2294,436001
modernc,helem-get,8192,16,zipf,500000,2885,346587
modernc,pool-read-r4,8192,16,zipf,553285,3615,276642
modernc,pool-drain-r4,8192,16,zipf,180224,11097,90112
modernc,load,8192,128,uniform,200000,1836,544729
modernc,step,8192,128,uniform,500000,826,1210729
modernc,get-hot,8192,128,uniform,500000,3138,318716
modernc,get-cold,8192,128,uniform,500000,3365,297163
modernc,set,8192,128,uniform,50000,3907,255941
modernc,drain,8192,128,uniform,200000,2089,478643
modernc,helem-drain,8192,128,uniform,200000,2821,354482
modernc,helem-get,8192,128,uniform,500000,3317,301496
modernc,pool-read-r4,8192,128,uniform,257134,7778,128567
modernc,pool-drain-r4,8192,128,uniform,90112,22195,45056
modernc,load,8192,128,zipf,200000,1830,546390
modernc,step,8192,128,zipf,500000,828,1208024
modernc,get-hot,8192,128,zipf,500000,2712,368745
modernc,get-cold,8192,128,zipf,500000,2981,335440
modernc,set,8192,128,zipf,50000,3922,254970
modernc,drain,8192,128,zipf,200000,2094,477465
modernc,helem-drain,8192,128,zipf,200000,2820,354555
modernc,helem-get,8192,128,zipf,500000,3056,327173
modernc,pool-read-r4,8192,128,zipf,472723,4231,236362
modernc,pool-drain-r4,8192,128,zipf,147456,13563,73728
modernc,load,8192,512,uniform,200000,2542,393390
modernc,step,8192,512,uniform,500000,819,1221180
modernc,get-hot,8192,512,uniform,500000,4262,234607
modernc,get-cold,8192,512,uniform,500000,4511,221686
modernc,set,8192,512,uniform,50000,4258,234846
modernc,drain,8192,512,uniform,200000,2423,412775
modernc,helem-drain,8192,512,uniform,200000,3716,269071
modernc,helem-get,8192,512,uniform,500000,4500,222240
modernc,pool-read-r4,8192,512,uniform,165502,12084,82751
modernc,pool-drain-r4,8192,512,uniform,53248,37560,26624
modernc,load,8192,512,zipf,200000,2584,386996
modernc,step,8192,512,zipf,500000,849,1178543
modernc,get-hot,8192,512,zipf,500000,3166,315840
modernc,get-cold,8192,512,zipf,500000,3390,294979
modernc,set,8192,512,zipf,50000,4356,229574
modernc,drain,8192,512,zipf,200000,2438,410129
modernc,helem-drain,8192,512,zipf,200000,3645,274314
modernc,helem-get,8192,512,zipf,500000,3579,279375
modernc,pool-read-r4,8192,512,zipf,394188,5074,197094
modernc,pool-drain-r4,8192,512,zipf,114688,17439,57344
modernc,load,16384,16,uniform,200000,1836,544768
modernc,step,16384,16,uniform,500000,834,1199715
modernc,get-hot,16384,16,uniform,500000,2716,368146
modernc,get-cold,16384,16,uniform,500000,2880,347194
modernc,set,16384,16,uniform,50000,3702,270135
modernc,drain,16384,16,uniform,200000,1903,525598
modernc,helem-drain,16384,16,uniform,200000,2865,349029
modernc,helem-get,16384,16,uniform,500000,2929,341428
modernc,pool-read-r4,16384,16,uniform,240634,8311,120317
modernc,pool-drain-r4,16384,16,uniform,45056,44389,22528
modernc,load,16384,16,zipf,200000,1855,539188
modernc,step,16384,16,zipf,500000,847,1180506
modernc,get-hot,16384,16,zipf,500000,2584,387040
modernc,get-cold,16384,16,zipf,500000,2780,359729
modernc,set,16384,16,zipf,50000,3721,268729
modernc,drain,16384,16,zipf,200000,1908,524056
modernc,helem-drain,16384,16,zipf,200000,2854,350355
modernc,helem-get,16384,16,zipf,500000,2866,348929
modernc,pool-read-r4,16384,16,zipf,448578,4459,224289
modernc,pool-drain-r4,16384,16,zipf,81920,24414,40960
modernc,load,16384,128,uniform,200000,2641,378653
modernc,step,16384,128,uniform,500000,817,1224649
modernc,get-hot,16384,128,uniform,500000,3034,329584
modernc,get-cold,16384,128,uniform,500000,3256,307169
modernc,set,16384,128,uniform,50000,3840,260409
modernc,drain,16384,128,uniform,200000,2017,495793
modernc,helem-drain,16384,128,uniform,200000,4011,249295
modernc,helem-get,16384,128,uniform,500000,3236,309060
modernc,pool-read-r4,16384,128,uniform,170760,11712,85380
modernc,pool-drain-r4,16384,128,uniform,32768,61035,16384
modernc,load,16384,128,zipf,200000,2650,377305
modernc,step,16384,128,zipf,500000,828,1207505
modernc,get-hot,16384,128,zipf,500000,2664,375418
modernc,get-cold,16384,128,zipf,500000,2938,340324
modernc,set,16384,128,zipf,50000,3848,259891
modernc,drain,16384,128,zipf,200000,2020,494986
modernc,helem-drain,16384,128,zipf,200000,4000,249997
modernc,helem-get,16384,128,zipf,500000,3016,331548
modernc,pool-read-r4,16384,128,zipf,339105,5898,169552
modernc,pool-drain-r4,16384,128,zipf,65536,30518,32768
modernc,load,16384,512,uniform,200000,4372,228715
modernc,step,16384,512,uniform,500000,823,1214364
modernc,get-hot,16384,512,uniform,500000,4437,225353
modernc,get-cold,16384,512,uniform,500000,4685,213425
modernc,set,16384,512,uniform,50000,4221,236938
modernc,drain,16384,512,uniform,200000,2344,426537
modernc,helem-drain,16384,512,uniform,200000,5758,173680
modernc,helem-get,16384,512,uniform,500000,4650,215046
modernc,pool-read-r4,16384,512,uniform,116531,17163,58266
modernc,pool-drain-r4,16384,512,uniform,36864,54253,18432
modernc,load,16384,512,zipf,200000,4367,228997
modernc,step,16384,512,zipf,500000,833,1200100
modernc,get-hot,16384,512,zipf,500000,3129,319587
modernc,get-cold,16384,512,zipf,500000,3395,294548
modernc,set,16384,512,zipf,50000,4220,236969
modernc,drain,16384,512,zipf,200000,2350,425459
modernc,helem-drain,16384,512,zipf,200000,5750,173900
modernc,helem-get,16384,512,zipf,500000,3581,279244
modernc,pool-read-r4,16384,512,zipf,235671,8486,117836
modernc,pool-drain-r4,16384,512,zipf,49152,40690,24576
zombiezen,load,4096,16,uniform,200000,1088,919405
zombiezen,step,4096,16,uniform,500000,103,9736636
zombiezen,get-hot,4096,16,uniform,500000,1724,580112
zombiezen,get-cold,4096,16,uniform,500000,1741,574478
zombiezen,set,4096,16,uniform,50000,2953,338614
zombiezen,drain,4096,16,uniform,200000,1327,753643
zombiezen,helem-drain,4096,16,uniform,200000,1409,709780
zombiezen,helem-get,4096,16,uniform,500000,1857,538628
zombiezen,pool-read-r4,4096,16,uniform,1148306,1742,574153
zombiezen,pool-drain-r4,4096,16,uniform,224576,8906,112288
zombiezen,load,4096,16,zipf,200000,1088,919444
zombiezen,step,4096,16,zipf,500000,105,9515392
zombiezen,get-hot,4096,16,zipf,500000,1600,624806
zombiezen,get-cold,4096,16,zipf,500000,1636,611388
zombiezen,set,4096,16,zipf,50000,2995,333932
zombiezen,drain,4096,16,zipf,200000,1335,748974
zombiezen,helem-drain,4096,16,zipf,200000,1420,704450
zombiezen,helem-get,4096,16,zipf,500000,1802,554807
zombiezen,pool-read-r4,4096,16,zipf,1400739,1428,700370
zombiezen,pool-drain-r4,4096,16,zipf,245056,8161,122528
zombiezen,load,4096,128,uniform,200000,1499,667261
zombiezen,step,4096,128,uniform,500000,102,9756627
zombiezen,get-hot,4096,128,uniform,500000,2124,470871
zombiezen,get-cold,4096,128,uniform,500000,2196,455437
zombiezen,set,4096,128,uniform,50000,3185,314009
zombiezen,drain,4096,128,uniform,200000,1530,653698
zombiezen,helem-drain,4096,128,uniform,200000,1842,543008
zombiezen,helem-get,4096,128,uniform,500000,2210,452410
zombiezen,pool-read-r4,4096,128,uniform,713175,2804,356588
zombiezen,pool-drain-r4,4096,128,uniform,131072,15259,65536
zombiezen,load,4096,128,zipf,200000,1498,667376
zombiezen,step,4096,128,zipf,500000,102,9806021
zombiezen,get-hot,4096,128,zipf,500000,1731,577843
zombiezen,get-cold,4096,128,zipf,500000,1810,552416
zombiezen,set,4096,128,zipf,50000,3200,312542
zombiezen,drain,4096,128,zipf,200000,1534,651863
zombiezen,helem-drain,4096,128,zipf,200000,1851,540385
zombiezen,helem-get,4096,128,zipf,500000,1942,515055
zombiezen,pool-read-r4,4096,128,zipf,1105635,1809,552818
zombiezen,pool-drain-r4,4096,128,zipf,172032,11626,86016
zombiezen,load,4096,512,uniform,200000,2619,381832
zombiezen,step,4096,512,uniform,500000,102,9771922
zombiezen,get-hot,4096,512,uniform,500000,3161,316400
zombiezen,get-cold,4096,512,uniform,500000,3227,309896
zombiezen,set,4096,512,uniform,50000,3696,270590
zombiezen,drain,4096,512,uniform,200000,2041,489963
zombiezen,helem-drain,4096,512,uniform,200000,3096,322989
zombiezen,helem-get,4096,512,uniform,500000,3185,313991
zombiezen,pool-read-r4,4096,512,uniform,378988,5277,189494
zombiezen,pool-drain-r4,4096,512,uniform,90112,22195,45056
zombiezen,load,4096,512,zipf,200000,2628,380563
zombiezen,step,4096,512,zipf,500000,103,9677806
zombiezen,get-hot,4096,512,zipf,500000,2003,499202
zombiezen,get-cold,4096,512,zipf,500000,2079,480904
zombiezen,set,4096,512,zipf,50000,3623,276022
zombiezen,drain,4096,512,zipf,200000,2034,491574
zombiezen,helem-drain,4096,512,zipf,200000,3034,329627
zombiezen,helem-get,4096,512,zipf,500000,2286,437510
zombiezen,pool-read-r4,4096,512,zipf,752233,2659,376116
zombiezen,pool-drain-r4,4096,512,zipf,106496,18780,53248
zombiezen,load,8192,16,uniform,200000,1051,951585
zombiezen,step,8192,16,uniform,500000,104,9595120
zombiezen,get-hot,8192,16,uniform,500000,1719,581635
zombiezen,get-cold,8192,16,uniform,500000,1742,574086
zombiezen,set,8192,16,uniform,50000,2941,340002
zombiezen,drain,8192,16,uniform,200000,1318,758583
zombiezen,helem-drain,8192,16,uniform,200000,1420,704439
zombiezen,helem-get,8192,16,uniform,500000,1820,549548
zombiezen,pool-read-r4,8192,16,uniform,1173867,1704,586934
zombiezen,pool-drain-r4,8192,16,uniform,257344,7772,128672
zombiezen,load,8192,16,zipf,200000,1041,960435
zombiezen,step,8192,16,zipf,500000,101,9866076
zombiezen,get-hot,8192,16,zipf,500000,1591,628723
zombiezen,get-cold,8192,16,zipf,500000,1617,618608
zombiezen,set,8192,16,zipf,50000,2936,340644
zombiezen,drain,8192,16,zipf,200000,1320,757427
zombiezen,helem-drain,8192,16,zipf,200000,1410,709276
zombiezen,helem-get,8192,16,zipf,500000,1762,567469
zombiezen,pool-read-r4,8192,16,zipf,1391385,1437,695692
zombiezen,pool-drain-r4,8192,16,zipf,257344,7772,128672
zombiezen,load,8192,128,uniform,200000,1380,724777
zombiezen,step,8192,128,uniform,500000,104,9642086
zombiezen,get-hot,8192,128,uniform,500000,2050,487876
zombiezen,get-cold,8192,128,uniform,500000,2093,477806
zombiezen,set,8192,128,uniform,50000,3146,317900
zombiezen,drain,8192,128,uniform,200000,1519,658309
zombiezen,helem-drain,8192,128,uniform,200000,1837,544260
zombiezen,helem-get,8192,128,uniform,500000,2141,467099
zombiezen,pool-read-r4,8192,128,uniform,712965,2805,356482
zombiezen,pool-drain-r4,8192,128,uniform,147456,13563,73728
