driver,workload,page,val,dist,ops,ns_per_op,ops_per_s
zombiezen,load,8192,128,zipf,200000,1376,727008
zombiezen,step,8192,128,zipf,500000,104,9633802
zombiezen,get-hot,8192,128,zipf,500000,1690,591857
zombiezen,get-cold,8192,128,zipf,500000,1750,571578
zombiezen,set,8192,128,zipf,50000,3180,314479
zombiezen,drain,8192,128,zipf,200000,1526,655447
zombiezen,helem-drain,8192,128,zipf,200000,1823,548528
zombiezen,helem-get,8192,128,zipf,500000,1887,529951
zombiezen,pool-read-r4,8192,128,zipf,1075550,1860,537775
zombiezen,pool-drain-r4,8192,128,zipf,188416,10615,94208
zombiezen,load,8192,512,uniform,200000,2161,462694
zombiezen,step,8192,512,uniform,500000,102,9826895
zombiezen,get-hot,8192,512,uniform,500000,3088,323824
zombiezen,get-cold,8192,512,uniform,500000,3160,316463
zombiezen,set,8192,512,uniform,50000,3570,280147
zombiezen,drain,8192,512,uniform,200000,1953,511933
zombiezen,helem-drain,8192,512,uniform,200000,2685,372452
zombiezen,helem-get,8192,512,uniform,500000,3202,312303
zombiezen,pool-read-r4,8192,512,uniform,416072,4807,208036
zombiezen,pool-drain-r4,8192,512,uniform,106496,18780,53248
zombiezen,load,8192,512,zipf,200000,2151,464875
zombiezen,step,8192,512,zipf,500000,100,9976542
zombiezen,get-hot,8192,512,zipf,500000,1935,516814
zombiezen,get-cold,8192,512,zipf,500000,2009,497710
zombiezen,set,8192,512,zipf,50000,3597,277990
zombiezen,drain,8192,512,zipf,200000,1947,513479
zombiezen,helem-drain,8192,512,zipf,200000,2675,373842
zombiezen,helem-get,8192,512,zipf,500000,2268,440980
zombiezen,pool-read-r4,8192,512,zipf,776936,2574,388468
zombiezen,pool-drain-r4,8192,512,zipf,126976,15751,63488
zombiezen,load,16384,16,uniform,200000,1345,743622
zombiezen,step,16384,16,uniform,500000,102,9795696
zombiezen,get-hot,16384,16,uniform,500000,1706,586179
zombiezen,get-cold,16384,16,uniform,500000,1747,572436
zombiezen,set,16384,16,uniform,50000,2962,337606
zombiezen,drain,16384,16,uniform,200000,1342,745316
zombiezen,helem-drain,16384,16,uniform,200000,1866,535782
zombiezen,helem-get,16384,16,uniform,500000,1851,540312
zombiezen,pool-read-r4,16384,16,uniform,1159326,1725,579663
zombiezen,pool-drain-r4,16384,16,uniform,253248,7897,126624
zombiezen,load,16384,16,zipf,200000,1334,749587
zombiezen,step,16384,16,zipf,500000,106,9473366
zombiezen,get-hot,16384,16,zipf,500000,1617,618319
zombiezen,get-cold,16384,16,zipf,500000,1619,617703
zombiezen,set,16384,16,zipf,50000,2935,340721
zombiezen,drain,16384,16,zipf,200000,1332,751019
zombiezen,helem-drain,16384,16,zipf,200000,1898,526960
zombiezen,helem-get,16384,16,zipf,500000,1799,556018
zombiezen,pool-read-r4,16384,16,zipf,1362367,1468,681184
zombiezen,pool-drain-r4,16384,16,zipf,240960,8300,120480
zombiezen,load,16384,128,uniform,200000,2194,455788
zombiezen,step,16384,128,uniform,500000,101,9891972
zombiezen,get-hot,16384,128,uniform,500000,1941,515066
zombiezen,get-cold,16384,128,uniform,500000,2005,498672
zombiezen,set,16384,128,uniform,50000,3024,330634
zombiezen,drain,16384,128,uniform,200000,1452,688788
zombiezen,helem-drain,16384,128,uniform,200000,2907,344035
zombiezen,helem-get,16384,128,uniform,500000,2020,495062
zombiezen,pool-read-r4,16384,128,uniform,742509,2694,371254
zombiezen,pool-drain-r4,16384,128,uniform,159744,12520,79872
zombiezen,load,16384,128,zipf,200000,2125,470585
zombiezen,step,16384,128,zipf,500000,107,9373117
zombiezen,get-hot,16384,128,zipf,500000,1649,606591
zombiezen,get-cold,16384,128,zipf,500000,1707,585669
zombiezen,set,16384,128,zipf,50000,3058,327010
zombiezen,drain,16384,128,zipf,200000,1453,688436
zombiezen,helem-drain,16384,128,zipf,200000,2871,348314
zombiezen,helem-get,16384,128,zipf,500000,1867,535740
zombiezen,pool-read-r4,16384,128,zipf,1071673,1866,535836
zombiezen,pool-drain-r4,16384,128,zipf,176128,11355,88064
zombiezen,load,16384,512,uniform,200000,3920,255083
zombiezen,step,16384,512,uniform,500000,102,9834917
zombiezen,get-hot,16384,512,uniform,500000,3277,305115
zombiezen,get-cold,16384,512,uniform,500000,3324,300860
zombiezen,set,16384,512,uniform,50000,3516,284424
zombiezen,drain,16384,512,uniform,200000,1886,530102
zombiezen,helem-drain,16384,512,uniform,200000,4559,219366
zombiezen,helem-get,16384,512,uniform,500000,3312,301931
zombiezen,pool-read-r4,16384,512,uniform,379306,5273,189653
zombiezen,pool-drain-r4,16384,512,uniform,102400,19531,51200
zombiezen,load,16384,512,zipf,200000,3879,257787
zombiezen,step,16384,512,zipf,500000,102,9840192
zombiezen,get-hot,16384,512,zipf,500000,1904,525305
zombiezen,get-cold,16384,512,zipf,500000,1982,504456
zombiezen,set,16384,512,zipf,50000,3516,284382
zombiezen,drain,16384,512,zipf,200000,1887,530061
zombiezen,helem-drain,16384,512,zipf,200000,4873,205209
zombiezen,helem-get,16384,512,zipf,500000,2243,445842
zombiezen,pool-read-r4,16384,512,zipf,721717,2771,360858
zombiezen,pool-drain-r4,16384,512,zipf,114688,17439,57344
ncruces,load,4096,16,uniform,200000,1610,621283
ncruces,step,4096,16,uniform,500000,144,6960801
ncruces,get-hot,4096,16,uniform,500000,1952,512255
ncruces,get-cold,4096,16,uniform,500000,1996,501078
ncruces,set,4096,16,uniform,50000,3615,276661
ncruces,drain,4096,16,uniform,200000,2017,495857
ncruces,helem-drain,4096,16,uniform,200000,1957,511005
ncruces,helem-get,4096,16,uniform,500000,2079,481070
ncruces,pool-read-r4,4096,16,uniform,2650313,755,1325156
ncruces,pool-drain-r4,4096,16,uniform,951552,2102,475776
ncruces,load,4096,16,zipf,200000,1610,621135
ncruces,step,4096,16,zipf,500000,144,6952300
ncruces,get-hot,4096,16,zipf,500000,1855,539059
ncruces,get-cold,4096,16,zipf,500000,1891,528781
ncruces,set,4096,16,zipf,50000,3626,275781
ncruces,drain,4096,16,zipf,200000,2024,493951
ncruces,helem-drain,4096,16,zipf,200000,1953,511992
ncruces,helem-get,4096,16,zipf,500000,2031,492335
ncruces,pool-read-r4,4096,16,zipf,2834544,706,1417272
ncruces,pool-drain-r4,4096,16,zipf,951552,2102,475776
ncruces,load,4096,128,uniform,200000,1907,524322
ncruces,step,4096,128,uniform,500000,142,7064168
ncruces,get-hot,4096,128,uniform,500000,2263,441901
ncruces,get-cold,4096,128,uniform,500000,2393,417935
ncruces,set,4096,128,uniform,50000,3888,257220
ncruces,drain,4096,128,uniform,200000,2289,436842
ncruces,helem-drain,4096,128,uniform,200000,2366,422579
ncruces,helem-get,4096,128,uniform,500000,2394,417699
ncruces,pool-read-r4,4096,128,uniform,2202672,908,1101336
ncruces,pool-drain-r4,4096,128,uniform,840960,2378,420480
ncruces,load,4096,128,zipf,200000,1905,525018
ncruces,step,4096,128,zipf,500000,145,6904883
ncruces,get-hot,4096,128,zipf,500000,1984,503967
ncruces,get-cold,4096,128,zipf,500000,2056,486338
ncruces,set,4096,128,zipf,50000,3856,259309
ncruces,drain,4096,128,zipf,200000,2233,447876
ncruces,helem-drain,4096,128,zipf,200000,2337,427914
ncruces,helem-get,4096,128,zipf,500000,2186,457377
ncruces,pool-read-r4,4096,128,zipf,2728345,733,1364172
ncruces,pool-drain-r4,4096,128,zipf,865536,2311,432768
ncruces,load,4096,512,uniform,200000,2677,373580
ncruces,step,4096,512,uniform,500000,149,6707434
ncruces,get-hot,4096,512,uniform,500000,3209,311669
ncruces,get-cold,4096,512,uniform,500000,3249,307755
ncruces,set,4096,512,uniform,50000,4089,244570
ncruces,drain,4096,512,uniform,200000,2537,394172
ncruces,helem-drain,4096,512,uniform,200000,3037,329230
ncruces,helem-get,4096,512,uniform,500000,3196,312893
ncruces,pool-read-r4,4096,512,uniform,1670523,1197,835262
ncruces,pool-drain-r4,4096,512,uniform,718784,2782,359392
ncruces,load,4096,512,zipf,200000,2665,375209
ncruces,step,4096,512,zipf,500000,143,7000402
ncruces,get-hot,4096,512,zipf,500000,2209,452782
ncruces,get-cold,4096,512,zipf,500000,2281,438397
ncruces,set,4096,512,zipf,50000,4059,246361
ncruces,drain,4096,512,zipf,200000,2553,391625
ncruces,helem-drain,4096,512,zipf,200000,3026,330440
ncruces,helem-get,4096,512,zipf,500000,2448,408491
ncruces,pool-read-r4,4096,512,zipf,2548005,785,1274002
ncruces,pool-drain-r4,4096,512,zipf,739264,2705,369632
ncruces,load,8192,16,uniform,200000,1564,639504
ncruces,step,8192,16,uniform,500000,142,7025676
ncruces,get-hot,8192,16,uniform,500000,1933,517231
ncruces,get-cold,8192,16,uniform,500000,1978,505499
ncruces,set,8192,16,uniform,50000,3576,279617
ncruces,drain,8192,16,uniform,200000,1999,500241
ncruces,helem-drain,8192,16,uniform,200000,1935,516806
ncruces,helem-get,8192,16,uniform,500000,2047,488466
ncruces,pool-read-r4,8192,16,uniform,2623538,762,1311769
ncruces,pool-drain-r4,8192,16,uniform,955648,2093,477824
ncruces,load,8192,16,zipf,200000,1571,636693
ncruces,step,8192,16,zipf,500000,142,7041015
ncruces,get-hot,8192,16,zipf,500000,1830,546548
ncruces,get-cold,8192,16,zipf,500000,1877,532834
ncruces,set,8192,16,zipf,50000,3565,280518
ncruces,drain,8192,16,zipf,200000,2025,493803
ncruces,helem-drain,8192,16,zipf,200000,1948,513220
ncruces,helem-get,8192,16,zipf,500000,1985,503725
ncruces,pool-read-r4,8192,16,zipf,2809194,712,1404597
ncruces,pool-drain-r4,8192,16,zipf,926976,2158,463488
ncruces,load,8192,128,uniform,200000,1799,555822
ncruces,step,8192,128,uniform,500000,143,7005600
ncruces,get-hot,8192,128,uniform,500000,2208,452809
ncruces,get-cold,8192,128,uniform,500000,2328,429595
ncruces,set,8192,128,uniform,50000,3868,258531
ncruces,drain,8192,128,uniform,200000,2229,448668
ncruces,helem-drain,8192,128,uniform,200000,2320,431073
ncruces,helem-get,8192,128,uniform,500000,2355,424586
ncruces,pool-read-r4,8192,128,uniform,2282157,876,1141078
ncruces,pool-drain-r4,8192,128,uniform,857344,2333,428672
ncruces,load,8192,128,zipf,200000,1820,549540
ncruces,step,8192,128,zipf,500000,145,6901079
ncruces,get-hot,8192,128,zipf,500000,1971,507232
ncruces,get-cold,8192,128,zipf,500000,2040,490138
ncruces,set,8192,128,zipf,50000,3829,261144
ncruces,drain,8192,128,zipf,200000,2207,453138
ncruces,helem-drain,8192,128,zipf,200000,2303,434269
ncruces,helem-get,8192,128,zipf,500000,2151,464792
ncruces,pool-read-r4,8192,128,zipf,2708943,738,1354472
ncruces,pool-drain-r4,8192,128,zipf,861440,2322,430720
ncruces,load,8192,512,uniform,200000,2308,433271
ncruces,step,8192,512,uniform,500000,142,7031390
ncruces,get-hot,8192,512,uniform,500000,3274,305405
ncruces,get-cold,8192,512,uniform,500000,3317,301439
ncruces,set,8192,512,uniform,50000,3999,250068
ncruces,drain,8192,512,uniform,200000,2416,413959
ncruces,helem-drain,8192,512,uniform,200000,2865,349095
ncruces,helem-get,8192,512,uniform,500000,3370,296705
ncruces,pool-read-r4,8192,512,uniform,1735633,1152,867816
ncruces,pool-drain-r4,8192,512,uniform,784320,2550,392160
ncruces,load,8192,512,zipf,200000,2317,431531
ncruces,step,8192,512,zipf,500000,144,6936809
ncruces,get-hot,8192,512,zipf,500000,2189,456788
ncruces,get-cold,8192,512,zipf,500000,2228,448797
ncruces,set,8192,512,zipf,50000,4046,247187
ncruces,drain,8192,512,zipf,200000,2427,412071
ncruces,helem-drain,8192,512,zipf,200000,2880,347232
ncruces,helem-get,8192,512,zipf,500000,2481,402997
ncruces,pool-read-r4,8192,512,zipf,2525659,792,1262830
ncruces,pool-drain-r4,8192,512,zipf,780224,2563,390112
ncruces,load,16384,16,uniform,200000,1540,649177
ncruces,step,16384,16,uniform,500000,143,7012134
ncruces,get-hot,16384,16,uniform,500000,1930,518137
ncruces,get-cold,16384,16,uniform,500000,1970,507488
ncruces,set,16384,16,uniform,50000,3576,279632
ncruces,drain,16384,16,uniform,200000,1999,500359
ncruces,helem-drain,16384,16,uniform,200000,1978,505609
ncruces,helem-get,16384,16,uniform,500000,2065,484246
ncruces,pool-read-r4,16384,16,uniform,2715143,737,1357572
ncruces,pool-drain-r4,16384,16,uniform,959744,2084,479872
ncruces,load,16384,16,zipf,200000,1556,642681
ncruces,step,16384,16,zipf,500000,142,7039340
ncruces,get-hot,16384,16,zipf,500000,1825,547887
ncruces,get-cold,16384,16,zipf,500000,1887,530023
ncruces,set,16384,16,zipf,50000,3586,278842
ncruces,drain,16384,16,zipf,200000,1997,500813
ncruces,helem-drain,16384,16,zipf,200000,1968,508100
ncruces,helem-get,16384,16,zipf,500000,2002,499424
ncruces,pool-read-r4,16384,16,zipf,2682932,745,1341466
ncruces,pool-drain-r4,16384,16,zipf,931072,2148,465536
ncruces,load,16384,128,uniform,200000,1781,561488
ncruces,step,16384,128,uniform,500000,142,7037829
ncruces,get-hot,16384,128,uniform,500000,2102,475791
ncruces,get-cold,16384,128,uniform,500000,2174,460081
ncruces,set,16384,128,uniform,50000,3639,274810
ncruces,drain,16384,128,uniform,200000,2074,482160
ncruces,helem-drain,16384,128,uniform,200000,2371,421761
ncruces,helem-get,16384,128,uniform,500000,2195,455525
ncruces,pool-read-r4,16384,128,uniform,2336417,856,1168208
ncruces,pool-drain-r4,16384,128,uniform,910592,2196,455296
ncruces,load,16384,128,zipf,200000,1767,565869
ncruces,step,16384,128,zipf,500000,143,6977546
ncruces,get-hot,16384,128,zipf,500000,1886,530200
ncruces,get-cold,16384,128,zipf,500000,1937,516177
ncruces,set,16384,128,zipf,50000,3658,273364
ncruces,drain,16384,128,zipf,200000,2081,480651
ncruces,helem-drain,16384,128,zipf,200000,2356,424492
ncruces,helem-get,16384,128,zipf,500000,2056,486487
ncruces,pool-read-r4,16384,128,zipf,2651264,754,1325632
ncruces,pool-drain-r4,16384,128,zipf,910592,2196,455296
ncruces,load,16384,512,uniform,200000,2157,463598
ncruces,step,16384,512,uniform,500000,144,6957851
ncruces,get-hot,16384,512,uniform,500000,3414,292939
ncruces,get-cold,16384,512,uniform,500000,3518,284288
ncruces,set,16384,512,uniform,50000,3914,255461
ncruces,drain,16384,512,uniform,200000,2293,436088
ncruces,helem-drain,16384,512,uniform,200000,3018,331296
ncruces,helem-get,16384,512,uniform,500000,3518,284214
ncruces,pool-read-r4,16384,512,uniform,1629844,1227,814922
ncruces,pool-drain-r4,16384,512,uniform,820480,2438,410240
ncruces,load,16384,512,zipf,200000,2194,455834
ncruces,step,16384,512,zipf,500000,141,7106832
ncruces,get-hot,16384,512,zipf,500000,2143,466657
ncruces,get-cold,16384,512,zipf,500000,2209,452620
ncruces,set,16384,512,zipf,50000,3874,258148
ncruces,drain,16384,512,zipf,200000,2290,436623
ncruces,helem-drain,16384,512,zipf,200000,2960,337818
ncruces,helem-get,16384,512,zipf,500000,2441,409699
ncruces,pool-read-r4,16384,512,zipf,2497328,801,1248664
ncruces,pool-drain-r4,16384,512,zipf,828672,2414,414336
